route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
1,27290853,"Grenoble, Cité Jean Macé",1234567-MSHSAH14_ST5_14_HI2223,1,SEM_C1_4,1,2
3,27341653,"Échirolles, Centre du graphisme",1234567-MEHS10_ST5_10_HI2223-MEHS12_ST5_12_HI2223,1,SEM_C3_2,1,2
C,27606769,"Seyssins, Le Prisme",12345-MGHLV35_ST0_35_HI2223,1,SEM_C_2,1,2
A,27593638,"Le Pont-de-Claix, L'Etoile",12345-MEILV08_ST21_8_HI2223,0,SEM_A_3,1,2
C,27150706,"Seyssins, Le Prisme",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,1,SEM_C_2,1,2
1,27428756,"Meylan, Maupertuis",1234567-MSHSAH10_ST5_10_HI2223-MSHSAH15_ST5_15_HI2223,0,SEM_C1_2,1,2
E,27443941,"Fontanil-Cornillon, Palluel",12345-MGHLV37_ST0_37_HI2223-MGHLV38_ST0_38_HI2223,1,SEM_E_1,1,2
2,27334673,"Claix, Pont Rouge",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_C2_2,1,2
B,27150287,"Gières, Plaine des Sports",12345-MGHLV17_ST0_17_HI2223,0,SEM_B_1,1,2
D,27043816,"Saint-Martin-d'Hères, Les Taillées - Universités",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,0,SEM_D_4,1,2
4,27535825,"Grenoble, Victor Hugo",12345-MEILV08_ST21_8_HI2223,1,SEM_C4_2,1,2
A,27063463,"Le Pont-de-Claix, L'Etoile",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_A_3,1,2
12,26980302,"Saint-Martin-d'Hères, Les Alloves",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223-MEILV08_ST21_8_HI2223,1,SEM_12_1,1,2
48,27169935,"Claix, Cossey",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,0,SEM_48_1,1,2
15,27430391,"Domène, Chenevières",12345-MAVLV05_ST21_5_HI2223,0,SEM_15_8,1,2
3,26963501,"Échirolles, Centre du graphisme",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,1,SEM_C3_2,1,2
3,27154261,"Grenoble, Victor Hugo",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,0,SEM_C3_1,1,2
B,27639304,"Gières, Plaine des Sports",12345-MGHLV37_ST0_37_HI2223,0,SEM_B_1,1,2
3,27535793,"Grenoble, Victor Hugo",12345-MEILV08_ST21_8_HI2223,0,SEM_C3_1,1,2
E,27574379,"Fontanil-Cornillon, Palluel",12345-MGHLV39_ST0_39_HI2223,1,SEM_E_1,1,2
15,27368675,"Grenoble, Verdun - Préfecture",1234567-MAHD06_ST6_6_HI2223-MAHD07_ST6_7_HI2223,1,SEM_15_11,1,2
16,26950166,"Corenc, Montfleury",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,0,SEM_16_1,1,2
42,26716192,"Meylan, La Détourbe",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,1,SEM_42_3,1,2
85,27205101,"Fontanil-Cornillon, Fontanil - Palluel",12345-MGHLV37_ST0_37_HI2223-MGHLV38_ST0_38_HI2223,1,,1,2
A,27170669,"Le Pont-de-Claix, L'Etoile",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223,0,SEM_A_3,1,2
A,27063462,"Le Pont-de-Claix, L'Etoile",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_A_3,1,2
59,27648195,"Venon, Le Chapon",12345-MFHLV12c_ST0_12_HI2223,0,SEM_59_1,1,2
3,27535798,"Grenoble, Victor Hugo",12345-MEILV08_ST21_8_HI2223,0,SEM_C3_1,1,2
E,27574220,"Grenoble, Louise Michel",12345-MGHLV39_ST0_39_HI2223,0,SEM_E_2,1,2
4,26963541,"Eybens, Le Verderet",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_C4_1,1,2
B,27639384,"Gières, Plaine des Sports",12345-MGHLV37_ST0_37_HI2223,0,SEM_B_1,1,2
A,27063363,"Le Pont-de-Claix, L'Etoile",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_A_3,1,2
22,26916845,"Grenoble, Oxford",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,1,SEM_22_2,1,2
4,27153756,"Grenoble, Victor Hugo",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,1,SEM_C4_2,1,2
C,27677445,"Seyssins, Le Prisme",12345-MGHLV39_ST0_39_HI2223,1,SEM_C_2,1,2
23,27137638,"Saint-Martin-d'Hères, Bibliothèques Universitaires",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,1,SEM_23_2,1,2
A,27064166,"Le Pont-de-Claix, L'Etoile",12345-MEHLV13_ST8_13_HI2223-MEHW13_ST11_13_HI2223,0,SEM_A_3,1,2
3,27535700,"Échirolles, Centre du graphisme",12345-MEILV08_ST21_8_HI2223,1,SEM_C3_2,1,2
4,27154507,"Grenoble, Victor Hugo",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,1,SEM_C4_2,1,2
D,27539490,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGHS08_ST5_8_HI2223,1,SEM_D_3,1,2
7,26690728,"Échirolles, Comboire",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,1,SEM_C7_2,1,2
2,27334620,"Grenoble, Louise Michel",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,1,SEM_C2_1,1,2
B,27639179,"Grenoble, Oxford",12345-MGHLV37_ST0_37_HI2223,1,SEM_B_2,1,2
A,27638666,"Le Pont-de-Claix, L'Etoile",12345-MEHLV22_ST8_22_HI2223-MEHW17_ST11_17_HI2223,0,SEM_A_3,1,2
A,27638443,"Fontaine, La Poya",12345-MEHLV22_ST8_22_HI2223-MEHW17_ST11_17_HI2223,1,SEM_A_4,1,2
1,27466670,"Grenoble, Cité Jean Macé",12345-MSHLVH05_ST8_5_HI2223,1,SEM_C1_1,1,2
2,27334934,"Grenoble, Louise Michel",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,1,SEM_C2_1,1,2
B,27660071,"Grenoble, Oxford",12345-MGHLV39_ST0_39_HI2223,1,SEM_B_2,1,2
