service_id,date,exception_type
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230604,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230410,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230430,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230507,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230518,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230528,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230425,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230502,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230509,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230516,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230523,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230530,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230411,1
*2***-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,20230418,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230411,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230412,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230414,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230417,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230418,1
1234567-MAHD07_ST6_7_HI2223,20230521,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230419,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230420,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230421,1
12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,20230413,1
1234567-MAHD06_ST6_6_HI2223,20230410,1
1234567-MAHD06_ST6_6_HI2223,20230416,1
1234567-MAHD06_ST6_6_HI2223,20230423,1
12345-MAVLV05_ST21_5_HI2223,20230411,1
12345-MAVLV05_ST21_5_HI2223,20230412,1
12345-MAVLV05_ST21_5_HI2223,20230413,1
12345-MAVLV05_ST21_5_HI2223,20230414,1
12345-MAVLV05_ST21_5_HI2223,20230417,1
12345-MAVLV05_ST21_5_HI2223,20230418,1
12345-MAVLV05_ST21_5_HI2223,20230419,1
12345-MAVLV05_ST21_5_HI2223,20230420,1
12345-MAVLV05_ST21_5_HI2223,20230421,1
1234567-MAHS07_ST5_7_HI2223,20230415,1
1234567-MAHS07_ST5_7_HI2223,20230422,1
1234567-MAHS07_ST5_7_HI2223,20230429,1
